artesano_id,nombre,ubicacion,fecha_registro,productos_publicados,unidades_vendidas,ingresos_generados,utilidad_generada
1,Jaime Pascual Sepúlveda,Pantepec,2023-09-03,5,447,258579.98,153115.69
2,Francisco Javier Timoteo Valadez,Pantepec,2023-11-29,4,248,110142.05,64455.56
3,Olga Nayeli Salas,Xicotepec de Juárez,2023-12-11,0,0,0.0,0.0
4,  Ing. Elvia Acevedo  ,Xicotepec de Juárez,2024-01-10,1,91,26743.08,15113.28
5,Sra. Beatriz Loera,Pantepec,2024-03-22,2,34,9460.08,5844.76
6,Mauricio Abraham Salas,Xicotepec de Juárez,2024-05-04,0,0,0.0,0.0
7,  Diana Osorio Heredia  ,Xicotepec de Juárez,2024-05-14,4,103,45578.28,26783.3
8,Isabel Ocampo Serna,Pantepec,2024-06-07,1,62,50462.42,31070.06
9,Jorge Benjamín Valdés,Xicotepec de Juárez,2024-06-09,2,39,16039.2,9981.62
10,Florencia Loera,Xicotepec de Juárez,2024-06-21,2,46,48398.36,29891.84
11,Carmen Sessa Vélez Mares,Pantepec,2024-06-24,3,110,73096.72,45200.46
12,José Luis Narváez Riojas,Xicotepec de Juárez,2024-07-01,1,10,12139.6,7299.2
13,Arcelia Laura Vigil,Xicotepec de Juárez,2024-07-05,3,185,116640.57,69628.52
14,Marisol Carrión,Xicotepec de Juárez,2024-07-15,1,5,1743.95,1076.2
15,Mayte Pilar Salas,Pantepec,2024-08-03,3,128,64724.26,39651.9
16,Mitzy Esperanza Peres,Xicotepec de Juárez,2024-08-23,2,100,98741.65,59673.96
17,Ing. Micaela Sisneros,Xicotepec de Juárez,2024-08-23,1,5,6150.45,3604.85
18,  Samuel Garrido Ceballos  ,Pantepec,2024-08-30,1,61,8829.75,5438.76
19,Ramiro Candelaria Portillo,Xicotepec de Juárez,2024-09-16,3,101,68137.41,40967.59
20,  Carmen María Teresa Girón Casas  ,Xicotepec de Juárez,2024-10-06,4,133,95009.71,56193.67
21,Tania María Eugenia Trejo Heredia,Xicotepec de Juárez,2024-10-16,3,51,27256.41,16966.11
22,  Laura Manzanares  ,Xicotepec de Juárez,2024-10-19,1,36,24254.64,14722.56
23,Sessa Sánchez,Pantepec,2024-10-19,0,0,0.0,0.0
24,  Laura Lucía Fierro Lozano  ,Xicotepec de Juárez,2024-10-23,4,75,31295.78,19960.71
25,Sr. Alejandro Cornejo,Xicotepec de Juárez,2024-11-22,3,63,49112.81,31546.22
26,Ing. Miriam Saiz,Xicotepec de Juárez,2024-11-27,5,71,47306.88,28423.07
27,  Débora Hurtado Ruelas  ,Xicotepec de Juárez,2024-12-26,2,76,49072.2,29999.52
28,Mercedes Marisol Puente Valdez,Pantepec,2025-01-14,0,0,0.0,0.0
29,  Humberto Mateo Reyna  ,Xicotepec de Juárez,2025-01-22,2,12,14091.38,8858.02
30,Mario Porfirio Huerta,Xicotepec de Juárez,2025-01-29,3,48,32096.76,20372.73
31,Cristal Lorena Roque Barela,Xicotepec de Juárez,2025-02-01,2,32,37693.89,23405.79
32,  Lic. José Luis Caldera  ,Xicotepec de Juárez,2025-02-04,3,28,15715.74,9445.56
33,Luis Concepción,Pantepec,2025-02-23,1,11,2363.13,1542.09
34,Adriana Arcelia Abrego Razo,Pantepec,2025-02-23,0,0,0.0,0.0
35,  Lic. Antonia Farías  ,Pantepec,2025-03-05,3,55,33063.13,20534.45
