comprador_id,nombre,ubicacion,fecha_registro,num_compras,total_gastado
1,Guillermo Miguel Salinas Pelayo,CDMX,2023-08-28,22,16022.63
2,Lic. Ernesto Melgar,Toluca,2023-08-28,15,13825.89
3,María Teresa Rael,CDMX,2023-08-31,9,7903.21
4,Ramón Ramón Lara,Toluca,2023-09-12,13,11356.59
5,Fidel Gabriel Adame,Xicotepec de Juárez,2023-09-14,10,6502.5
6,Mauro Jesús Pantoja,Puebla,2023-09-15,15,13951.9
7,Susana Echeverría,,2023-09-22,16,12083.95
8,José Cortez Mora,Xicotepec de Juárez,2023-09-26,6,5957.65
9,Úrsula Vega,Toluca,2023-10-09,11,8216.44
10,Dulce Carmona,CDMX,2023-10-12,7,5075.38
11,Dra. Noelia Vanegas,Puebla,2023-10-13,13,9610.86
12,Rufino Lozano,Puebla,2023-10-14,20,15182.45
13,Dra. Susana Valadez,Monterrey,2023-10-18,12,11409.59
14,Bruno Guillermo Caldera Pulido,CDMX,2023-10-20,11,6898.09
15,Carlos Ángel Moya Escalante,CDMX,2023-10-22,15,11501.44
16,Patricio Jacobo Lebrón,Pantepec,2023-11-04,13,11470.71
17,Sra. Florencia Mascareñas,Querétaro,2023-11-06,15,11254.37
18,Gregorio Gonzalo Barajas Alcaraz,Querétaro,2023-11-10,13,10379.96
19,Esparta Liliana Alejandro,Xicotepec de Juárez,2023-11-11,18,16814.18
20,Bernardo Gollum Altamirano,Toluca,2023-11-21,17,18466.85
21,Sr. Bernardo Valentín,Puebla,2023-11-26,13,8895.14
22,Dra. Graciela Reséndez,Monterrey,2023-11-28,7,4878.11
23,Lic. Alta  Gracia Páez,Guadalajara,2023-12-02,7,5182.65
24,Rebeca Galván Villegas,CDMX,2023-12-02,14,6168.82
25,Lourdes Teresa Casares Noriega,Monterrey,2023-12-03,13,11003.08
26,Trinidad Heredia,Guadalajara,2023-12-04,8,5122.37
27,Florencia Isabel Baeza,Querétaro,2023-12-05,7,4797.05
28,Aldonza Eva Menéndez,Guadalajara,2023-12-05,12,7319.77
29,Sr. Isaac Peña,CDMX,2023-12-08,5,3489.58
30,Paola Almonte Torres,Querétaro,2023-12-10,11,7530.29
31,Daniela Valentín Badillo,Guadalajara,2023-12-12,18,16178.3
32,Emiliano Wilfrido Casillas,Guadalajara,2023-12-18,5,2797.44
33,Alfonso Cristian Solorzano,Guadalajara,2023-12-18,9,4949.61
34,Perla Madrid Anaya,Puebla,2023-12-24,11,8477.63
35,Pamela Camila Moya,Querétaro,2023-12-26,11,5967.64
36,Judith Josefina Grijalva,Monterrey,2023-12-31,10,6927.14
37,Soledad Dulce María Castillo,CDMX,2024-01-03,9,4868.7
38,Reynaldo Aldo Toro Vaca,Monterrey,2024-01-05,14,8409.38
39,Esparta Carolina Gil,CDMX,2024-01-06,4,2127.6
40,Adán Lebrón Toro,CDMX,2024-01-07,8,3933.19
41,Liliana Estefanía Mascareñas Chavarría,Monterrey,2024-01-07,7,2788.42
42,Sra. Conchita Uribe,CDMX,2024-01-09,3,2719.2
43,Porfirio Jaimes Molina,Puebla,2024-01-09,16,10564.02
44,Guadalupe Badillo,Monterrey,2024-01-17,14,10087.16
45,Zeferino Guerra Rodrígez,Querétaro,2024-01-19,11,8209.35
46,Francisco Sauceda Corona,Xicotepec de Juárez,2024-01-19,9,6262.88
47,Wendolin Isabela Gonzales,CDMX,2024-01-21,9,6546.21
48,Esther Montalvo,CDMX,2024-01-21,7,4974.17
49,José Manuél Muñoz,Guadalajara,2024-01-26,12,10089.45
50,Sandra María Cristina Ulibarri Rojo,Xicotepec de Juárez,2024-01-27,6,4185.22
51,Dra. Cynthia Covarrubias,Guadalajara,2024-01-30,14,10688.04
52,Cecilia Mariana Adame,Monterrey,2024-01-31,12,12988.62
53,Miriam Paredes Archuleta,Guadalajara,2024-02-01,11,8688.24
54,Benito Isaac Nieves Treviño,Xicotepec de Juárez,2024-02-06,9,5328.05
55,Dr. Bruno Almanza,Guadalajara,2024-02-08,11,7970.28
56,Dulce Verduzco,Querétaro,2024-02-08,9,6782.2
57,Sr. Julio César Olivares,Monterrey,2024-02-12,12,10267.49
58,Minerva Cotto,Querétaro,2024-02-13,11,9772.35
59,Aurora Briones,Pantepec,2024-02-17,13,5739.03
60,Julio Joaquín Trujillo Ibarra,Querétaro,2024-02-22,6,2787.37
61,Sr. Silvano Espinal,CDMX,2024-02-25,8,7415.32
62,Humberto Ignacio Toro Lira,Toluca,2024-02-27,7,4532.56
63,Carla Oquendo Esparza,Puebla,2024-03-02,8,5145.64
64,Uriel Rosado Pichardo,CDMX,2024-03-02,8,6699.73
65,Nancy de la Rosa Sevilla,CDMX,2024-03-02,5,4186.27
66,Ernesto Mascareñas Tirado,Guadalajara,2024-03-05,18,12421.31
67,Emiliano Aldo Carrión Serrato,Guadalajara,2024-03-05,6,4297.39
68,José Manuél Barela Nazario,Toluca,2024-03-06,15,11629.65
69,Dr. Renato Corrales,Monterrey,2024-03-06,18,14477.38
70,Lic. Emilia Castro,Puebla,2024-03-06,10,8553.21
71,Jerónimo Omar Carbajal,Puebla,2024-03-16,12,9293.3
72,Juan Guillermo Madera,CDMX,2024-03-16,15,8198.89
73,Jos Nicolás Samaniego,Querétaro,2024-03-16,8,7039.08
74,Rodrigo Rafaél Gurule,Puebla,2024-03-17,3,2767.13
75,Trinidad Reséndez Vigil,CDMX,2024-03-19,10,9452.83
76,Antonia Barrientos Brito,CDMX,2024-03-23,11,6183.06
77,Gloria Estefanía Gastélum de la Garza,Xicotepec de Juárez,2024-03-28,10,7160.41
78,Lucía Santillán Valenzuela,Xicotepec de Juárez,2024-03-29,9,6570.8
79,Guillermina Salcido Padrón,Monterrey,2024-03-29,12,5666.68
80,Conchita Estrada Rivas,Monterrey,2024-04-03,8,5544.44
81,Jos Montez,Xicotepec de Juárez,2024-04-04,6,4548.02
82,Paulina Juana Galindo,Guadalajara,2024-04-06,7,4683.91
83,Martín Rufino Cavazos Prado,Xicotepec de Juárez,2024-04-08,8,8712.5
84,Ing. Clemente Maya,Querétaro,2024-04-08,8,6658.26
85,Lic. Guillermo Colunga,Puebla,2024-04-08,5,3480.95
86,Rosario Jasso,Xicotepec de Juárez,2024-04-08,9,6786.17
87,Jesús Collazo,CDMX,2024-04-08,13,10634.29
88,Blanca Jasso,Xicotepec de Juárez,2024-04-10,11,9322.92
89,Lic. Leonel Pabón,Xicotepec de Juárez,2024-04-11,11,7593.19
90,Roberto Mendoza Parra,Xicotepec de Juárez,2024-04-17,8,4717.32
91,Ariadna Saldaña Treviño,CDMX,2024-04-19,8,4836.99
92,Diana Pineda,Xicotepec de Juárez,2024-04-20,12,8984.48
